timestamp,Pbus_001_a,Qbus_001_a,Pbus_001_b,Qbus_001_b,Pbus_001_c,Qbus_001_c,Pbus_002_a,Qbus_002_a,Pbus_002_b,Qbus_002_b,Pbus_002_c,Qbus_002_c,Pbus_003_a,Qbus_003_a,Pbus_003_b,Qbus_003_b,Pbus_003_c,Qbus_003_c,Pbus_004_a,Qbus_004_a,Pbus_004_b,Qbus_004_b,Pbus_004_c,Qbus_004_c,Pbus_005_a,Qbus_005_a,Pbus_005_b,Qbus_005_b,Pbus_005_c,Qbus_005_c
2026-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,68.0,22.36,59.49999999999999,19.564999999999998,42.5,13.975,34.0,11.175,61.2,20.115000000000002,40.8,13.41,24.480000000000004,8.040000000000001,36.72,12.06,61.2,20.1,45.9,15.075000000000001,25.5,8.375,30.599999999999998,10.049999999999999
2026-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,66.0,21.680000000000003,57.74999999999999,18.97,41.25,13.55,33.0,10.85,59.4,19.53,39.6,13.02,23.76,7.800000000000001,35.64,11.7,59.4,19.5,44.550000000000004,14.625,24.75,8.125,29.7,9.75
2026-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,65.0,21.36,56.87499999999999,18.689999999999998,40.625,13.35,32.5,10.675,58.5,19.215000000000003,39.0,12.81,23.400000000000002,7.7,35.1,11.549999999999999,58.5,19.25,43.875,14.4,24.375,8.0,29.25,9.6
2026-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,64.0,21.040000000000003,56.0,18.41,40.0,13.15,32.0,10.525,57.6,18.945,38.4,12.63,23.040000000000003,7.58,34.56,11.37,57.6,18.95,43.2,14.22,24.0,7.9,28.799999999999997,9.48
2026-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,66.0,21.680000000000003,57.74999999999999,18.97,41.25,13.55,33.0,10.85,59.4,19.53,39.6,13.02,23.76,7.800000000000001,35.64,11.7,59.4,19.5,44.550000000000004,14.625,24.75,8.125,29.7,9.75
2026-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,61.24999999999999,20.125,43.75,14.375,35.0,11.5,63.0,20.7,42.0,13.799999999999999,25.200000000000003,8.28,37.8,12.42,63.0,20.7,47.25,15.525,26.25,8.625,31.5,10.35
2026-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,82.0,26.960000000000004,71.75,23.59,51.25,16.85,41.0,13.475,73.8,24.255,49.199999999999996,16.169999999999998,29.52,9.700000000000001,44.279999999999994,14.549999999999999,73.8,24.25,55.35,18.18,30.75,10.1,36.9,12.12
2026-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,95.0,31.24,83.125,27.334999999999997,59.375,19.525,47.5,15.6,85.5,28.08,57.0,18.72,34.2,11.240000000000002,51.3,16.86,85.5,28.1,64.125,21.06,35.625,11.7,42.75,14.04
2026-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.88,87.5,28.77,62.5,20.55,50.0,16.425,90.0,29.565,60.0,19.71,36.0,11.840000000000002,54.0,17.76,90.0,29.6,67.5,22.185,37.5,12.325,45.0,14.79
2026-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,96.0,31.560000000000002,84.0,27.615000000000002,60.0,19.725,48.0,15.775,86.4,28.395,57.599999999999994,18.93,34.56,11.36,51.84,17.04,86.4,28.4,64.8,21.285,36.0,11.825,43.199999999999996,14.19
2026-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,85.0,27.92,74.375,24.429999999999996,53.125,17.45,42.5,13.975,76.5,25.155,51.0,16.77,30.6,10.06,45.9,15.089999999999998,76.5,25.15,57.375,18.855,31.875,10.475,38.25,12.569999999999999
2026-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,61.24999999999999,20.125,43.75,14.375,35.0,11.5,63.0,20.7,42.0,13.799999999999999,25.200000000000003,8.28,37.8,12.42,63.0,20.7,47.25,15.525,26.25,8.625,31.5,10.35
2026-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,55.0,18.080000000000002,48.125,15.82,34.375,11.3,27.5,9.05,49.5,16.290000000000003,33.0,10.860000000000001,19.8,6.5,29.7,9.75,49.5,16.25,37.125,12.195,20.625,6.775,24.75,8.13
2026-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15.12,40.25,13.229999999999999,28.75,9.45,23.0,7.55,41.4,13.59,27.599999999999998,9.059999999999999,16.56,5.44,24.84,8.16,41.4,13.6,31.05,10.215,17.25,5.675,20.7,6.81
